period,inputs,status,reason,method,numerator,net_income_factor,share_factor,implied_eps_factor,reported_eps_factor,from_earnings_log,from_share_count_log,residual_log,recomputed_eps,eps_recompute_gap,eps_recompute_flag,buybacks,sbc,net_diluted_shares_retired,buyback_note
FY2021->FY2022,"[""net_income@FY2022"", ""net_income@FY2021"", ""shares_diluted@FY2022"", ""shares_diluted@FY2021"", ""eps_diluted@FY2022"", ""eps_diluted@FY2021""]",blocked,missing shares_diluted@FY2021,,,,,,,,,,,,,,,,
FY2022->FY2023,"[""net_income_to_common@FY2023"", ""net_income_to_common@FY2022"", ""shares_diluted@FY2023"", ""shares_diluted@FY2022"", ""eps_diluted@FY2023"", ""eps_diluted@FY2022""]",ok,,approximation,net_income_to_common,1.2304908957513507,0.9667907895736758,1.272758190315361,1.2719298245614037,0.20741319200108257,0.03377315691139104,-0.0006510548863944698,5.800581669548813,-0.000581669548813224,,61504000000.0,22460000000.0,437000000.0,"Share reduction is not free: it cost the buyback cash shown, part of which offsets shares issued as stock compensation"
FY2023->FY2024,"[""net_income_to_common@FY2024"", ""net_income_to_common@FY2023"", ""shares_diluted@FY2024"", ""shares_diluted@FY2023"", ""eps_diluted@FY2024"", ""eps_diluted@FY2023""]",ok,,approximation,net_income_to_common,1.3567043837658377,0.9783839019022166,1.3866789724647697,1.386206896551724,0.3050585117015452,0.021853148237772003,-0.0003404943008159522,8.043544629227926,-0.0035446292279264213,,62222000000.0,22785000000.0,275000000.0,"Share reduction is not free: it cost the buyback cash shown, part of which offsets shares issued as stock compensation"
FY2024->FY2025,"[""net_income_to_common@FY2025"", ""net_income_to_common@FY2024"", ""shares_diluted@FY2025"", ""shares_diluted@FY2024"", ""eps_diluted@FY2025"", ""eps_diluted@FY2024""]",ok,,approximation,net_income_to_common,1.320142232166044,0.982566080179963,1.3435658514939288,1.3445273631840797,0.2777394824344309,0.017587680319759543,0.0007153857060516744,10.807031888798038,0.0029681112019623868,,45709000000.0,24953000000.0,217000000.0,"Share reduction is not free: it cost the buyback cash shown, part of which offsets shares issued as stock compensation"
